City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,wynyard,-41.0,145.7167,8.42,89,66,3.48,AU,1722891963
149,isafjordur,66.0755,-23.124,6.87,96,100,9.52,IS,1722891964
150,pitimbu,-7.4706,-34.8086,24.33,74,22,5.4,BR,1722891965
151,saint-philippe,-21.3585,55.7679,18.77,79,21,3.62,RE,1722891966
152,uzgen,40.7699,73.3007,25.16,34,10,2.77,KG,1722891967
153,nacala,-14.5428,40.6728,20.44,82,18,1.4,MZ,1722891968
154,taulaga,-11.0553,-171.0883,27.3,81,17,5.71,AS,1722891970
155,kenai,60.5544,-151.2583,23.05,52,0,7.2,US,1722891971
156,sisimiut,66.9395,-53.6735,7.02,77,77,1.69,GL,1722891972
157,verkhniy tagil,57.3733,59.9556,14.89,99,100,1.61,RU,1722891973
158,susuman,62.7833,148.1667,14.44,57,98,2.35,RU,1722891974
159,college,64.8569,-147.8028,27.47,42,20,2.57,US,1722891944
160,shiyan,32.6475,110.7781,24.18,95,3,2.07,CN,1722891976
161,ancud,-41.8697,-73.8203,8.26,94,100,8.84,CL,1722891977
162,ust-nera,64.5667,143.2,14.62,56,100,2.09,RU,1722891979
163,cabo san lucas,22.8909,-109.9124,33.61,55,0,4.12,MX,1722891971
164,polyarnyy,69.1989,33.4478,9.23,78,3,1.56,RU,1722891949
165,ayacucho,-13.1583,-74.2239,22.92,25,40,1.54,PE,1722891982
166,severnoye,56.3491,78.3619,15.18,94,100,2.24,RU,1722891984
167,tralee,52.2704,-9.7026,11.87,89,0,2.47,IE,1722891985
168,el porvenir,13.7617,-87.3458,31.63,57,42,0.96,HN,1722891986
169,saint-leu,-21.15,55.2833,18.48,75,5,1.3,RE,1722891987
170,antofagasta,-23.65,-70.4,14.6,82,52,4.64,CL,1722891718
171,kavaratti,10.5669,72.642,27.34,83,100,5.02,IN,1722891990
172,lautoka,-17.6167,177.4667,22.92,60,20,2.57,FJ,1722891992
173,al kharijah,25.4514,30.5464,35.26,15,96,4.55,EG,1722891993
174,nagqu,31.5,92.0,3.88,80,4,1.23,CN,1722891994
175,thompson,55.7435,-97.8558,22.09,35,40,2.06,CA,1722891995
176,manggar,-2.8833,108.2667,27.14,74,96,6.06,ID,1722891996
177,gaspe,48.8334,-64.4819,22.12,64,75,7.2,CA,1722891998
178,sarmiento,-45.5882,-69.07,4.0,97,100,5.91,AR,1722891999
179,yasnyy,51.0333,59.8742,21.35,49,87,3.68,RU,1722892000
180,deschutes river woods,43.9915,-121.3584,33.47,26,0,4.12,US,1722892001
181,acarau,-2.8856,-40.12,25.74,72,97,8.34,BR,1722891913
182,borogontsy,62.6683,131.1683,11.19,93,100,3.41,RU,1722892003
183,tanjung sepat,2.6579,101.5629,26.08,89,20,1.54,MY,1722892004
184,asan,36.7836,127.0042,24.91,95,81,1.04,KR,1722892006
185,trevelin,-43.0858,-71.4639,6.71,98,100,1.22,AR,1722892007
186,aioun,16.6614,-9.6149,30.16,60,63,4.82,MR,1722892008
187,hirara,24.8,125.2833,29.52,81,100,5.62,JP,1722892009
188,shenjiamen,29.9576,122.298,26.83,92,1,3.42,CN,1722892010
189,hamilton,39.1834,-84.5333,34.93,50,20,4.12,US,1722891712
190,xining,36.6167,101.7667,14.23,84,81,1.22,CN,1722892012
191,weyburn,49.6668,-103.8511,24.27,32,95,5.72,CA,1722892014
192,villa de soto,-30.8552,-64.9995,22.44,30,0,5.62,AR,1722892015
193,tura,25.5198,90.2201,24.25,99,100,2.14,IN,1722892016
194,kavak,41.0783,36.0425,19.09,99,55,0.74,TR,1722892017
195,vila franca do campo,37.7167,-25.4333,24.23,86,22,2.59,PT,1722892018
196,whitehorse,60.7161,-135.0538,25.05,36,9,2.24,CA,1722892019
197,hammerfest,70.6634,23.6821,17.4,57,8,3.51,NO,1722892020
198,kayangel,8.0823,134.7173,28.79,74,100,4.44,PW,1722892022
199,novo aripuana,-5.1206,-60.3797,35.93,24,76,1.2,BR,1722892023
200,djenne,13.9061,-4.5533,28.1,67,84,3.65,ML,1722892024
201,la ronge,55.1001,-105.2842,21.14,37,100,2.06,CA,1722891796
202,luderitz,-26.6481,15.1594,13.03,65,0,6.36,NA,1722892026
203,guerrero negro,27.9769,-114.0611,27.8,50,100,6.12,MX,1722892028
204,malango,-2.9627,119.9001,17.6,98,14,1.15,ID,1722892030
205,wakkanai,45.4094,141.6739,17.33,90,97,2.02,JP,1722892031
206,gadzhiyevo,69.2551,33.3362,8.73,80,2,1.44,RU,1722892032
207,crawfordsville,40.0411,-86.8745,33.02,54,4,4.93,US,1722892034
208,istok,42.7808,20.4875,14.51,61,30,2.96,XK,1722892035
209,kerikeri,-35.2268,173.9474,9.95,95,28,1.88,NZ,1722892036
210,sinabang,2.4803,96.3801,25.79,82,100,0.77,ID,1722892037
211,richmond,37.5538,-77.4603,33.35,67,75,3.6,US,1722891611
212,narasannapeta,18.4167,84.05,27.13,84,100,2.19,IN,1722892040
213,lusambo,-4.9667,23.45,22.17,27,69,0.22,CD,1722892041
214,hobyo,5.3505,48.5268,24.31,85,46,11.92,SO,1722892042
215,sechura,-5.5569,-80.8222,23.76,53,0,7.83,PE,1722892043
216,margate,51.3813,1.3862,18.72,74,1,4.5,GB,1722892044
217,az zuwaytinah,30.9522,20.1202,28.98,59,0,5.53,LY,1722892045
218,atasu,48.6814,71.6433,21.45,42,100,2.98,KZ,1722892047
219,maintirano,-18.0667,44.0167,22.35,75,2,3.73,MG,1722892048
220,grossenkneten,52.95,8.2667,19.76,77,4,3.35,DE,1722892049
221,ola,59.5833,151.2833,13.34,80,100,1.2,RU,1722892050
222,mount vernon,40.9126,-73.8371,32.82,53,75,5.66,US,1722891961
223,motueka,-41.1333,173.0167,6.46,74,7,1.62,NZ,1722892015
224,inhambane,-23.865,35.3833,21.04,75,54,7.28,MZ,1722891926
225,belle fourche,44.6714,-103.8522,30.28,25,0,5.26,US,1722892054
226,kolonia,50.9333,6.95,21.08,79,0,2.57,DE,1722891809
227,mbandaka,0.0487,18.2603,23.3,74,54,1.67,CD,1722892057
228,marshall,34.3834,-86.3333,33.99,59,40,3.6,US,1722892058
229,ponta delgada,37.7333,-25.6667,24.4,94,40,4.12,PT,1722892059
230,touros,-5.1989,-35.4608,24.42,76,43,6.85,BR,1722892060
231,casino,-28.8667,153.05,15.31,93,93,1.96,AU,1722892061
232,igarka,67.4667,86.5833,6.39,81,99,4.73,RU,1722892062
233,khandyga,62.6667,135.6,12.16,93,100,2.23,RU,1722892064
234,coquimbo,-29.9533,-71.3436,15.85,53,0,4.63,CL,1722891707
235,ad dabbah,18.05,30.95,33.62,43,85,3.29,SD,1722892066
236,altamira,-3.2033,-52.2064,33.05,46,20,1.54,BR,1722891915
237,wewak,-3.5534,143.6268,24.73,89,98,1.95,PG,1722892068
238,bonthe,7.5264,-12.505,24.81,88,67,4.04,SL,1722891792
239,lerwick,60.1545,-1.1494,14.0,91,97,0.31,GB,1722892071
240,piriapolis,-34.8682,-55.2744,16.09,92,100,5.66,UY,1722892073
241,ojinaga,29.5667,-104.4167,30.53,39,0,0.0,MX,1722892074
242,domazlice,49.4405,12.9298,17.84,81,52,1.37,CZ,1722892075
243,nakhon thai,17.1006,100.8374,23.61,98,100,1.53,TH,1722892076
244,batticaloa,7.7102,81.6924,26.91,80,99,1.01,LK,1722892077
245,monroe,43.1501,-77.6831,27.03,78,100,3.09,US,1722891995
246,zhosaly,45.4878,64.0781,30.35,25,66,3.11,KZ,1722892080
247,ostersund,63.1792,14.6357,18.25,77,100,3.09,SE,1722892081
248,orchomenos,38.4929,22.9796,26.1,64,19,1.79,GR,1722892082
249,nar'yan-mar,67.6713,53.087,5.47,86,6,4.63,RU,1722892083
250,arkhangel'sk,64.5401,40.5433,13.06,82,40,3.0,RU,1722892084
251,egilsstadir,65.2653,-14.3948,10.15,96,100,1.19,IS,1722892085
252,santyoku,37.4406,129.1708,24.82,90,0,2.04,KR,1722892086
253,waddan,29.1614,16.139,33.49,16,0,6.61,LY,1722892087
254,tokar,18.4254,37.729,32.45,53,96,4.13,SD,1722892089
255,auxerre,47.8,3.5667,19.24,72,0,1.69,FR,1722892091
256,buala,-8.145,159.5921,25.98,85,98,4.19,SB,1722892092
257,nouadhibou,20.931,-17.0347,21.68,88,19,7.05,MR,1722892093
258,awjilah,29.1081,21.2869,32.66,21,0,1.17,LY,1722892094
259,ma'an,26.9775,110.7211,25.29,86,96,1.75,CN,1722892095
260,lluta,-16.0147,-72.0142,10.52,30,32,3.97,PE,1722892096
261,shimoda,34.6667,138.95,26.17,85,6,1.4,JP,1722892097
262,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,100,1.0,RU,1722892099
263,mount gambier,-37.8333,140.7667,6.01,100,100,2.95,AU,1722892100
264,qaqortoq,60.7167,-46.0333,8.77,74,100,1.64,GL,1722892014
265,golden hills,35.1425,-118.4904,38.45,21,18,6.26,US,1722892103
266,kharan,28.5833,65.4167,30.83,50,74,2.24,PK,1722892094
267,novosergiyevka,52.0934,53.6528,22.29,51,99,0.49,RU,1722892105
268,laurel,39.0993,-76.8483,35.33,50,40,1.54,US,1722891986
269,oropesa del mar,40.1,0.15,26.87,66,40,3.74,ES,1722892108
270,maturin,9.75,-63.1767,24.91,100,100,2.06,VE,1722892109
271,wailua homesteads,22.0669,-159.378,29.24,69,0,4.63,US,1722892111
272,qamdo,31.1667,97.2333,7.01,59,17,1.51,CN,1722892112
273,uturoa,-16.7333,-151.4333,25.79,74,64,5.34,PF,1722892113
274,gettysburg,39.8309,-77.2311,34.43,46,11,2.24,US,1722892114
275,simanggang,1.2472,111.4528,22.88,98,37,0.48,MY,1722892116
276,pariaman,-0.619,100.12,26.03,90,82,2.85,ID,1722892117
277,thunder bay,48.4001,-89.3168,22.67,36,100,1.24,CA,1722892067
278,zag,46.9441,99.165,12.34,51,18,0.92,MN,1722892119
279,pampa,35.5362,-100.9599,37.54,21,0,3.6,US,1722891973
280,buford,34.1207,-84.0043,32.16,67,40,4.63,US,1722891922
281,chul'man,56.8479,124.9104,11.93,98,100,3.74,RU,1722892123
282,callao,-12.0667,-77.15,23.01,82,74,6.55,PE,1722892125
283,zeya,53.75,127.2667,17.11,99,97,1.0,RU,1722892126
284,fort bragg,35.139,-79.006,29.55,78,100,3.09,US,1722892127
285,djambala,-2.5447,14.7533,24.68,53,94,2.33,CG,1722892128
286,port isabel,26.0734,-97.2086,34.04,73,0,6.17,US,1722892129
287,ingeniero jacobacci,-41.3427,-69.5448,8.59,47,61,6.68,AR,1722892130
288,iitti,60.8949,26.3387,17.22,96,100,1.58,FI,1722892131
289,isangel,-19.55,169.2667,21.74,61,33,5.63,VU,1722892132
290,north tamworth,-31.0778,150.9261,8.06,100,75,0.0,AU,1722892134
291,akureyri,65.6835,-18.0878,10.01,99,100,2.79,IS,1722892026
292,vilyuysk,63.7553,121.6247,12.52,79,25,1.89,RU,1722892136
293,howard springs,-12.497,131.047,22.95,88,7,2.24,AU,1722892137
294,berezovo,63.9381,65.0419,10.08,72,100,5.33,RU,1722892138
295,qui nhon,13.7667,109.2333,25.51,87,80,1.54,VN,1722892139
296,kaiapoi,-43.3783,172.6401,7.13,69,0,0.71,NZ,1722892141
297,vila velha,-20.3297,-40.2925,23.3,88,0,3.09,BR,1722892142
298,itoman,26.1247,127.6694,28.21,96,75,7.2,JP,1722892143
299,la sierpe,21.7717,-79.2684,33.1,61,90,4.08,CU,1722892144
300,quartu sant'elena,39.2419,9.1839,27.78,65,0,4.63,IT,1722892079
301,demikhovo,55.7968,38.884,14.99,91,2,1.54,RU,1722892146
302,colonia,50.9333,6.95,21.08,79,0,2.57,DE,1722892050
303,savannakhet,16.566,104.751,24.28,92,100,1.99,LA,1722892149
304,la tuque,47.4334,-72.7824,17.25,68,98,0.32,CA,1722892150
305,port-vila,-17.7338,168.3219,19.78,83,75,1.03,VU,1722892152
306,sanluri,39.5611,8.8994,26.92,80,45,2.78,IT,1722892153
307,aflao,6.116,1.1914,24.23,85,79,6.39,TG,1722892155
308,taltal,-25.4,-70.4833,15.93,68,24,2.4,CL,1722891620
309,constantia,44.1833,28.65,21.38,63,56,5.35,RO,1722892158
310,andratx,39.5755,2.4202,27.56,72,0,4.66,ES,1722892159
311,brookings,44.3114,-96.7984,20.05,88,100,5.66,US,1722892144
312,argo,37.6333,22.7333,27.1,66,0,1.04,GR,1722892162
313,nadym,65.5333,72.5167,7.34,71,41,5.61,RU,1722892163
314,tambacounda,13.7539,-13.7586,25.19,92,100,2.69,SN,1722892164
315,martapura,-3.4167,114.85,24.05,100,96,0.51,ID,1722892165
316,kagizman,40.1567,43.1342,19.15,73,6,3.39,TR,1722892166
317,poso,-1.3959,120.7524,24.68,80,92,1.74,ID,1722892167
318,la plata,-34.9215,-57.9545,16.04,93,100,4.7,AR,1722891959
319,rio grande,-32.035,-52.0986,18.06,95,54,6.03,BR,1722892170
320,zliten,32.4674,14.5687,26.88,81,0,4.01,LY,1722892172
321,kapa'a,22.0752,-159.319,29.99,69,0,4.63,US,1722892173
322,chemin grenier,-20.4872,57.4656,16.42,77,5,2.77,MU,1722892174
323,paramonga,-10.6667,-77.8333,18.74,76,9,6.14,PE,1722892175
324,bansang,13.4333,-14.65,24.54,93,100,2.38,GM,1722892176
325,george town,5.4112,100.3354,28.96,74,20,1.03,MY,1722892023
326,seven pagodas,12.6264,80.1722,27.19,79,100,4.45,IN,1722892179
327,kilindoni,-7.9139,39.6668,24.76,75,2,6.59,TZ,1722892180
328,selfoss,63.9331,-20.9971,11.14,98,100,2.12,IS,1722892181
329,jalai nur,49.45,117.7,19.0,61,94,0.59,CN,1722892182
330,pacific grove,36.6177,-121.9166,26.25,87,100,4.12,US,1722892183
331,mil'kovo,55.6078,37.7956,19.08,77,7,1.43,RU,1722892184
332,thulamahashi,-24.7246,31.1994,16.08,82,100,2.97,ZA,1722892185
333,ivdel',60.6911,60.4206,10.31,98,100,3.3,RU,1722892187
334,price,39.5994,-110.8107,33.59,18,0,2.57,US,1722892188
335,at taj,24.2049,23.2857,30.84,17,1,4.52,LY,1722892189
336,guerrero,17.6667,-100.0,22.32,91,99,0.64,MX,1722892190
337,el bauga,18.262,33.9081,28.1,69,81,11.09,SD,1722892192
338,kievka,50.2619,71.5514,21.66,50,82,1.62,KZ,1722892193
339,neiafu,-18.65,-173.9833,23.38,88,20,2.57,TO,1722892194
340,san patricio,28.017,-97.5169,34.74,39,33,4.63,US,1722891659
341,ahmadnagar,19.0833,74.7333,22.8,90,95,5.72,IN,1722892197
342,afaahiti,-17.75,-149.2833,27.93,77,64,5.77,PF,1722892198
343,rundu,-17.9333,19.7667,16.31,21,0,3.19,NA,1722892199
344,tarko-sale,64.9225,77.785,10.8,84,100,4.16,RU,1722892200
345,alaghsas,17.0187,8.0168,31.62,49,22,7.6,NE,1722892097
346,puerto carreno,6.189,-67.4859,27.53,72,100,1.47,CO,1722892142
347,andergrove,-21.0833,149.1833,14.8,91,27,2.88,AU,1722892204
348,bubaque,11.2833,-15.8333,26.52,84,100,5.92,GW,1722892205
349,hami,42.8,93.45,27.01,26,2,2.24,CN,1722892207
350,subaykhan,34.8544,40.6083,33.88,34,0,8.43,SY,1722892208
351,dadukou,26.5479,101.7054,22.2,96,100,0.27,CN,1722892210
352,bramming,55.4695,8.7001,15.48,94,29,1.54,DK,1722892212
353,novodvinsk,64.4165,40.8122,12.86,63,100,3.01,RU,1722892213
354,mtsensk,53.2766,36.5733,18.57,63,100,1.68,RU,1722892214
355,shohimardon,39.9839,71.8028,21.43,47,6,1.35,UZ,1722892215
356,kutiyana,21.6233,69.9817,26.92,87,80,7.71,IN,1722892217
357,la sarre,48.8002,-79.1996,20.14,40,81,3.85,CA,1722892218
358,zhezqazghan,47.7833,67.7667,23.71,34,6,3.41,KZ,1722892219
359,ilhabela,-23.7781,-45.3581,21.76,79,0,0.77,BR,1722892220
360,namdrik,5.5994,168.1028,28.07,77,66,3.5,MH,1722892221
361,rosarito,32.3333,-117.0333,32.73,72,92,3.92,MX,1722892222
362,puerto aysen,-45.4,-72.7,4.47,98,100,1.77,CL,1722892022
363,arad,46.3333,21.75,20.95,83,100,2.82,RO,1722892225
364,ivins,37.1686,-113.6794,41.18,15,69,3.13,US,1722892226
